Tabela Global de Altura Geopotencial (mgp) por Nível de Pressão e Latitude
Nível (hPa),-90° a -60°  (Antártica / Polar S),-60° a -30°  (Temp. Sul),-30° a 0°  (Subtrop./Trop. S),0° a 30°  (Trop./Subtrop. N),30° a 60°  (Temp. Norte),60° a 90°  (Ártico / Polar N)
(hPa),min1,max1,min2,max2,min3,max3,min4,max4,min5,max5,min6,max6
1000, -150,  120,   50,  180 ,  110, 210,  100,  220,   30, 190 , -100,  150
900 ,  700,  920,  880,  1010,  980,1040,  970, 1050,  850, 1020,  720,  950
850 , 1150, 1380, 1320, 1480 , 1450,1540, 1440, 1550, 1300, 1500, 1180, 1400
800 , 1620, 1880, 1800, 1980 , 1950,2050, 1940, 2060, 1780, 2000, 1650, 1900
700 , 2650, 2950, 2850, 3100 , 3050,3160, 3040, 3180, 2820, 3120, 2680, 2980
600 , 3800, 4150, 4020, 4350 , 4300,4420, 4280, 4440, 3980, 4380, 3820, 4180
500 , 5000, 5420, 5250, 5700 , 5720,5880, 5700, 5920, 5180, 5820, 5050, 5480
300 , 8200, 8950, 8600, 9400 , 9500,9680, 9480, 9700, 8500, 9550, 8300, 9050
200 ,10600,11600,11200,12100 ,12300,2480,12280,12500,11000,12300,10700,11700
100 ,15200,16100,15700,16300 ,16500,6620,16480,16650,15600,16450,15300,16200
50  ,18400,20200,19800,20600 ,20800,20980,20780,21000,19700,20800,18800,20500
