Tabela Global de Umidade Relativa (%) por Nível de Pressão e Latitude
Nível (hPa),-90° a -60°  (Antártica / Polar S),-60° a -30°  (Temp. Sul),-30° a 0°  (Subtrop./Trop. S),0° a 30°  (Trop./Subtrop. N),30° a 60°  (Temp. Norte),60° a 90°  (Ártico / Polar N)
(hPa),min1,max1,min2,max2,min3,max3,min4,max4,min5,max5,min6,max6
1000,60,90,70,90,20,85,15,90,40,85,70,95 
900 ,55,85,65,85,25,80,20,85,45,80,65,90
850 ,50,80,55,80,20,75,15,80,40,75,60,85
800 ,45,75,50,75,15,70,12,75,35,70,55,80
700 ,40,70,40,65,10,65,10,70,30,65,45,75
600 ,35,65,30,55,10,60, 8,65,25,60,35,65
500 ,30,60,20,45, 5,55, 5,60,20,55,30,60
300 ,20,50,15,35, 5,45, 5,50,15,45,20,50
200 ,15,40,10,25, 5,35, 5,40,10,35,15,40
100 , 0, 5, 0, 5, 0, 8, 0, 8, 0, 5, 0, 5
50  , 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1 
