Tabela Global de Velocidade do Vento (Mín - Máx) em m/s por Nível de Pressão e Latitude
(hPa),-90° a -60°  (Antártica / Polar S),-60° a -30°  (Temp. Sul),-30° a 0°  (Subtrop./Trop. S),0° a 30°  (Trop./Subtrop. N),30° a 60°  (Temp. Norte),60° a 90°  (Ártico / Polar N)
(hPa),min1,max1,min2,max2,min3,max3,min4,max4,min5,max5,min6,max6
1000, 2,25, 5,28, 1,15, 1,18, 3, 25, 2,22
900 , 4,28, 8,32, 3,18, 3,20, 6, 30, 4,25
850 , 5,30,10,35, 4,20, 4,22, 8, 32, 5,28
800 , 5,28,10,35, 4,18, 4,20, 8, 35, 5,28
700 , 5,32,12,40, 3,15, 3,18,10, 42, 5,30
600 , 6,35,15,50, 3,18, 3,22,12, 52, 6,35
500 , 8,45,18,65, 4,25, 4,30,15, 68, 8,45
300 ,12,60,25,85, 8,50, 8,55,22, 90,10,55
200 ,10,55,30,95,10,65,10,70,25,100, 8,50
100 , 5,45,15,55, 5,35, 5,40,12, 60, 5,40
50  , 2,65, 8,50, 2,25, 2,30, 6, 55, 2,55
